country,happinessrank,happinessscore,whiskerhigh,whiskerlow,economysituation,family,healthlifeexpectancy,freedom,governmentcorruption.,generosity,dystopiaresidual,terrorismevent
Latvia,54,5.850,5.920264,5.779736,1.260749,1.404715,0.638567,0.325708,0.073843,0.153075,1.993655,1
South Korea,55,5.838,5.922559,5.753441,1.401678,1.128274,0.900214,0.257922,0.063283,0.206674,1.880378,0
Moldova,56,5.838,5.908371,5.767629,0.728871,1.251826,0.589465,0.240729,0.010091,0.208779,2.807808,0
Romania,57,5.825,5.919694,5.730305,1.217684,1.150091,0.685158,0.457004,0.004388,0.133520,2.176831,0
Bolivia,58,5.823,5.903977,5.742023,0.833757,1.227619,0.473630,0.558733,0.060478,0.225561,2.443279,0
Turkmenistan,59,5.822,5.885181,5.758819,1.130777,1.493149,0.437726,0.418272,0.259270,0.249925,1.832910,0
Kazakhstan,60,5.819,5.903642,5.734358,1.284556,1.384369,0.606042,0.437454,0.119283,0.201964,1.784893,0
North Cyprus,61,5.810,5.897366,5.722633,1.346911,1.186303,0.834647,0.471204,0.155353,0.266846,1.549158,0
Slovenia,62,5.758,5.842225,5.673775,1.341206,1.452519,0.790828,0.572576,0.045129,0.242649,1.313317,0
Peru,63,5.715,5.811947,5.618054,1.035225,1.218770,0.630166,0.450003,0.047049,0.126820,2.207269,8
Mauritius,64,5.629,5.729862,5.528138,1.189396,1.209561,0.638007,0.491247,0.042182,0.360934,1.697584,0
Cyprus,65,5.621,5.714693,5.527307,1.355938,1.131363,0.844715,0.355112,0.041238,0.271254,1.621249,0
Estonia,66,5.611,5.688140,5.533860,1.320879,1.476671,0.695168,0.479131,0.183249,0.098891,1.357509,0
Belarus,67,5.569,5.646114,5.491885,1.156558,1.444945,0.637714,0.295400,0.156314,0.155138,1.723233,0
Libya,68,5.525,5.676954,5.373046,1.101803,1.357564,0.520169,0.465733,0.092610,0.152074,1.835011,190
Turkey,69,5.500,5.594865,5.405135,1.198274,1.337753,0.637606,0.300741,0.099672,0.046693,1.879278,181
Paraguay,70,5.493,5.577381,5.408619,0.932537,1.507285,0.579251,0.473508,0.091066,0.224151,1.685333,10
"Hong Kong S.A.R., China",71,5.472,5.549594,5.394406,1.551675,1.262791,0.943062,0.490969,0.293934,0.374466,0.554633,0
Philippines,72,5.430,5.545335,5.314665,0.857699,1.253918,0.468009,0.585215,0.099332,0.193513,1.972605,692
Serbia,73,5.395,5.491570,5.298430,1.069318,1.258190,0.650785,0.208716,0.040904,0.220126,1.947084,1
Jordan,74,5.336,5.448410,5.223590,0.991012,1.239089,0.604590,0.418421,0.119803,0.172170,1.791177,8
Hungary,75,5.324,5.403040,5.244960,1.286012,1.343133,0.687763,0.175864,0.036637,0.078402,1.716459,0
Jamaica,76,5.311,5.581399,5.040601,0.925579,1.368218,0.641022,0.474307,0.055268,0.233818,1.612326,2
Croatia,77,5.293,5.391777,5.194223,1.222556,0.967983,0.701289,0.255772,0.043103,0.248003,1.854492,0
Kosovo,78,5.279,5.364848,5.193152,0.951484,1.137854,0.541452,0.260288,0.057472,0.319931,2.010541,8
China,79,5.273,5.319278,5.226721,1.081166,1.160837,0.741416,0.472788,0.022794,0.028807,1.764939,6
Pakistan,80,5.269,5.359984,5.178016,0.726884,0.672691,0.402048,0.235215,0.124348,0.315446,2.792489,719
Indonesia,81,5.262,5.352889,5.171112,0.995539,1.274445,0.492346,0.443323,0.015317,0.611705,1.429477,27
Venezuela,82,5.250,5.370032,5.129968,1.128431,1.431338,0.617144,0.153997,0.064491,0.065020,1.789464,17
Montenegro,83,5.237,5.341044,5.132956,1.121129,1.238376,0.667465,0.194989,0.088174,0.197911,1.729192,0
Morocco,84,5.235,5.318341,5.151659,0.878115,0.774864,0.597711,0.408158,0.087763,0.032210,2.456189,0
Azerbaijan,85,5.234,5.299287,5.168714,1.153602,1.152400,0.540776,0.398156,0.180988,0.045269,1.762482,2
Dominican Republic,86,5.230,5.349061,5.110939,1.079374,1.402417,0.574874,0.552590,0.113945,0.186968,1.319465,1
Greece,87,5.227,5.325246,5.128754,1.289487,1.239415,0.810199,0.095731,0.043290,0.000000,1.749222,43
Lebanon,88,5.225,5.318882,5.131118,1.074988,1.129624,0.735081,0.288516,0.037514,0.264451,1.695074,23
Portugal,89,5.195,5.285042,5.104959,1.315175,1.367043,0.795844,0.498465,0.015869,0.095103,1.107683,0
Bosnia and Herzegovina,90,5.182,5.276336,5.087665,0.982409,1.069336,0.705186,0.204403,0.000000,0.328867,1.892173,0
Honduras,91,5.181,5.301583,5.060418,0.730573,1.143945,0.582569,0.348080,0.073345,0.236189,2.065811,1
Macedonia,92,5.175,5.272173,5.077828,1.064578,1.207893,0.644948,0.325906,0.060278,0.253761,1.617469,1
Somalia,93,5.151,5.242484,5.059516,0.022643,0.721151,0.113989,0.602127,0.282410,0.291631,3.117485,614
Vietnam,94,5.074,5.147281,5.000719,0.788548,1.277491,0.652169,0.571056,0.087633,0.234968,1.462319,2
Nigeria,95,5.074,5.209500,4.938500,0.783756,1.215770,0.056916,0.394953,0.026122,0.230947,2.365391,484
Tajikistan,96,5.041,5.111426,4.970574,0.524714,1.271463,0.529235,0.471567,0.146377,0.248998,1.849049,2
Bhutan,97,5.011,5.079335,4.942666,0.885416,1.340127,0.495879,0.501538,0.173380,0.474055,1.140184,0
Kyrgyzstan,98,5.004,5.089920,4.918080,0.596220,1.394239,0.553458,0.454943,0.039439,0.428580,1.536723,2
Nepal,99,4.962,5.067356,4.856644,0.479820,1.179283,0.504131,0.440306,0.072976,0.394096,1.891241,247
Mongolia,100,4.955,5.021680,4.888320,1.027236,1.493011,0.557783,0.394144,0.032902,0.338464,1.111292,0
South Africa,101,4.829,4.929435,4.728565,1.054699,1.384789,0.187080,0.479247,0.072509,0.139362,1.510909,29
Tunisia,102,4.805,4.884367,4.725633,1.007266,0.868351,0.613212,0.289681,0.086723,0.049693,1.890251,4
Palestinian Territories,103,4.775,4.881848,4.668152,0.716249,1.155647,0.565667,0.254711,0.089283,0.114173,1.878890,0
Egypt,104,4.735,4.825134,4.644866,0.989702,0.997471,0.520187,0.282110,0.114381,0.128631,1.702161,224
Bulgaria,105,4.714,4.803695,4.624306,1.161459,1.434379,0.708218,0.289232,0.011052,0.113178,0.996139,0
Sierra Leone,106,4.709,4.850643,4.567357,0.368421,0.984136,0.005565,0.318698,0.071095,0.293041,2.668460,3
Cameroon,107,4.695,4.796541,4.593459,0.564305,0.946018,0.132892,0.430389,0.051307,0.236298,2.333646,94
Iran,108,4.692,4.798225,4.585775,1.156873,0.711551,0.639333,0.249323,0.048761,0.387243,1.498735,11
Albania,109,4.644,4.752464,4.535536,0.996193,0.803685,0.731160,0.381499,0.039864,0.201313,1.490442,1
Bangladesh,110,4.608,4.689822,4.526178,0.586683,0.735132,0.533241,0.478357,0.123718,0.172255,1.978736,41
Namibia,111,4.574,4.770355,4.377645,0.964434,1.098471,0.338612,0.520304,0.093147,0.077134,1.481890,0
Kenya,112,4.553,4.655692,4.450308,0.560479,1.067951,0.309988,0.452764,0.064641,0.444860,1.651902,97
Mozambique,113,4.550,4.774102,4.325898,0.234306,0.870701,0.106654,0.480791,0.179436,0.322228,2.355651,11
Myanmar,114,4.545,4.614740,4.475260,0.367111,1.123236,0.397523,0.514492,0.188816,0.838075,1.115290,115
Senegal,115,4.535,4.601604,4.468396,0.479309,1.179692,0.409363,0.377922,0.115460,0.183469,1.789646,0
Zambia,116,4.514,4.644106,4.383894,0.636407,1.003187,0.257836,0.461603,0.078214,0.249580,1.826705,2
Iraq,117,4.497,4.622591,4.371409,1.102710,0.978613,0.501180,0.288556,0.107216,0.199637,1.318907,2466
Gabon,118,4.465,4.557362,4.372639,1.198210,1.155620,0.356579,0.312329,0.076047,0.043785,1.322916,4
Ethiopia,119,4.460,4.542729,4.377271,0.339234,0.864669,0.353410,0.408843,0.165456,0.312651,2.015744,27
Sri Lanka,120,4.440,4.553447,4.326553,1.009850,1.259976,0.625131,0.561213,0.073654,0.490864,0.419389,41
Armenia,121,4.376,4.466735,4.285265,0.900597,1.007484,0.637524,0.198303,0.026674,0.083488,1.521499,0
India,122,4.315,4.371522,4.258478,0.792221,0.754373,0.455428,0.469987,0.092227,0.231538,1.519117,966
Mauritania,123,4.292,4.377164,4.206836,0.648457,1.272031,0.285349,0.096098,0.136957,0.201870,1.651637,0
Congo (Brazzaville),124,4.291,4.410054,4.171946,0.808964,0.832044,0.289957,0.435026,0.079618,0.120852,1.724136,143
Georgia,125,4.286,4.374934,4.197066,0.950613,0.570615,0.649547,0.309410,0.251667,0.054009,1.500138,1
Congo (Kinshasa),126,4.280,4.357811,4.202190,0.092102,1.229023,0.191407,0.235961,0.060241,0.246456,2.224959,0
Mali,127,4.190,4.269671,4.110329,0.476180,1.281473,0.169366,0.306614,0.104970,0.183354,1.668191,141
Ivory Coast,128,4.180,4.275183,4.084817,0.603049,0.904780,0.048642,0.447706,0.130062,0.201237,1.844964,13
Cambodia,129,4.168,4.278518,4.057483,0.601765,1.006238,0.429783,0.633376,0.068106,0.385923,1.042941,0
Sudan,130,4.139,4.345747,3.932253,0.659517,1.214009,0.290921,0.014996,0.089848,0.182317,1.687066,106
Ghana,131,4.120,4.222707,4.017293,0.667225,0.873665,0.295638,0.423026,0.025336,0.256924,1.577868,0
Ukraine,132,4.096,4.185410,4.006590,0.894652,1.394538,0.575904,0.122975,0.023029,0.270061,0.814382,61
Uganda,133,4.081,4.195800,3.966200,0.381431,1.129828,0.217633,0.443186,0.057070,0.325766,1.526363,13
Burkina Faso,134,4.032,4.124059,3.939941,0.350228,1.043280,0.215844,0.324368,0.120328,0.250865,1.727213,32
Niger,135,4.028,4.111947,3.944053,0.161925,0.993025,0.268505,0.363659,0.138573,0.228674,1.873983,13
Malawi,136,3.970,4.077479,3.862521,0.233442,0.512569,0.315090,0.466915,0.072712,0.287170,2.081786,1
Chad,137,3.936,4.034712,3.837289,0.438013,0.953856,0.041135,0.162342,0.053582,0.216114,2.071238,6
Zimbabwe,138,3.875,3.978700,3.771300,0.375847,1.083096,0.196764,0.336384,0.095375,0.189143,1.597970,3
Lesotho,139,3.808,4.044344,3.571656,0.521021,1.190095,0.000000,0.390661,0.119095,0.157497,1.429835,0
Angola,140,3.795,3.951642,3.638358,0.858428,1.104412,0.049869,0.000000,0.069720,0.097926,1.614482,6
Afghanistan,141,3.794,3.873661,3.714338,0.401477,0.581543,0.180747,0.106180,0.061158,0.311871,2.150801,1414
Botswana,142,3.766,3.874123,3.657877,1.122094,1.221555,0.341756,0.505196,0.098583,0.099348,0.377914,0
Benin,143,3.657,3.745784,3.568217,0.431085,0.435300,0.209930,0.425963,0.060929,0.207948,1.885631,0
Madagascar,144,3.644,3.714319,3.573681,0.305809,0.913020,0.375223,0.189197,0.067232,0.208733,1.584613,0
Haiti,145,3.603,3.734715,3.471285,0.368610,0.640450,0.277321,0.030370,0.099872,0.489204,1.697168,0
Yemen,146,3.593,3.692750,3.493250,0.591683,0.935382,0.310081,0.249464,0.056767,0.104125,1.345601,226
South Sudan,147,3.591,3.725539,3.456462,0.397249,0.601323,0.163486,0.147062,0.116794,0.285671,1.879567,54
Liberia,148,3.533,3.653756,3.412244,0.119042,0.872118,0.229918,0.332881,0.038948,0.266550,1.673286,1
Guinea,149,3.507,3.584428,3.429572,0.244550,0.791245,0.194129,0.348588,0.110938,0.264815,1.552312,8
Togo,150,3.495,3.594038,3.395962,0.305445,0.431883,0.247106,0.380426,0.095665,0.196896,1.837229,0
Rwanda,151,3.471,3.543030,3.398970,0.368746,0.945707,0.326425,0.581844,0.455220,0.252756,0.540061,2
Syria,152,3.462,3.663669,3.260331,0.777153,0.396103,0.500533,0.081539,0.151347,0.493664,1.061574,243
Tanzania,153,3.349,3.461430,3.236570,0.511136,1.041990,0.364509,0.390018,0.066035,0.354256,0.621130,6
Burundi,154,2.905,3.074690,2.735310,0.091623,0.629794,0.151611,0.059901,0.084148,0.204435,1.683024,21
Central African Republic,155,2.693,2.864884,2.521116,0.000000,0.000000,0.018773,0.270842,0.056565,0.280876,2.066005,43
